channel_name,subscribers,category,views_counts,video_count,started_year,revenue
Cute Life Shorts,4740000,,1889612363,547,2021,47240309.0
diyafavas_official,3490000,People & Blogs,1884857621,506,2016,47121441.0
Behindwoods Ice,2510000,Entertainment,1879398447,12625,2019,46984961.0
Saran,3600000,People & Blogs,1877359753,1186,2022,46933994.0
cravingsandcalories vlogs,2590000,Education,1875853566,834,2017,46896339.0
Garima's Good Life,4300000,People & Blogs,1875290628,952,2018,46882266.0
News24 Sports,3150000,People & Blogs,1873155215,22552,2019,46828880.0
Manish Jodhpuri,4280000,Entertainment,1872266564,411,2018,46806664.0
Ujjal Dance Group,7740000,Entertainment,1870739770,178,2014,46768494.0
Tech Burner,11100000,Science & Technology,1868000227,1193,2014,46700006.0
YOYO TV Channel,3560000,News & Politics,1863193299,123482,2016,46579832.0
ADWISE MEDIA ACTION MOVIEPLEX,10900000,Entertainment,1862313152,396,2014,46557829.0
BR Chopra & Other TV Serials,5140000,Entertainment,1859925718,1913,2018,46498143.0
Masti Tv  Hindi Stories,7060000,Entertainment,1857877016,363,2019,46446925.0
NiharikaMovies,3590000,Entertainment,1850488707,40903,2014,46262218.0
Harpreet SDC Shorts,2700000,People & Blogs,1849295809,1376,2021,46232395.0
IBC24,4670000,News & Politics,1843203194,194478,2015,46080080.0
Pravallika_Richh akka,2760000,Comedy,1842944534,536,2018,46073613.0
Harsh Beniwal,15600000,Comedy,1841400546,166,2015,46035014.0
JP Choudhary,3970000,People & Blogs,1839641149,808,2016,45991029.0
Nitesh Comedian143,3910000,Comedy,1839405831,285,2021,45985146.0
Upboyraj Comedy,3500000,Comedy,1838877769,371,2018,45971944.0
RAJA RUBI,2380000,Entertainment,1837236827,793,2016,45930921.0
Jugnu Kids  Bangla Nursery Rhymes & Baby Songs,4260000,People & Blogs,1835226693,443,2017,45880667.0
PS TAMIL SONG,3190000,Film & Animation,1834742467,4087,2015,45868562.0
Shorts With Raaz,6320000,,1833560184,1033,2022,45839005.0
