channel_name,subscribers,category,views_counts,video_count,started_year,revenue
Bolly Kick,8800000,Film & Animation,1334713355,921,2011,33367834.0
Grandpa Kitchen,9480000,Howto & Style,1332681137,501,2017,33317028.0
Veggie Paaji,3310000,Entertainment,1328381816,1426,2016,33209545.0
Khushbu Style,3130000,Howto & Style,1325440300,1939,2017,33136008.0
Nitin Narware,4470000,Comedy,1325169813,195,2020,33129245.0
Manish saini,4000000,Comedy,1323766113,638,2019,33094153.0
Bihar Tak,3280000,News & Politics,1323610973,30646,2018,33090274.0
aha videoIN,2570000,Entertainment,1321854323,4454,2020,33046358.0
LOL (Life of Limbachiyaaâs),4300000,Entertainment,1318427545,623,2021,32960689.0
Shabad Gurbani,3460000,Music,1315172284,11432,2011,32879307.0
Elvish yadav,14600000,Comedy,1311129311,185,2016,32778233.0
Josh   Hindi Stories Comedy Videos,4000000,Entertainment,1307957778,286,2019,32698944.0
DisneyPlus Hotstar_IN,1660000,Entertainment,1305882316,463,2019,32647058.0
Nova Spiritual India,4550000,Music,1305470330,742,2015,32636758.0
Best In Bollywood,3320000,Entertainment,1305360072,826,2011,32634002.0
sansCARi sumit,1140000,Autos & Vehicles,1303192477,2335,2010,32579812.0
CRUX,2210000,News & Politics,1301110855,14335,2016,32527771.0
Ramsivasa Tamil,1520000,Howto & Style,1300462701,2145,2018,32511568.0
Meditative Mind,5420000,Music,1293943632,1660,2009,32348591.0
Team Kunjippuzhu by Nikhil & Lena,1570000,Comedy,1293501389,713,2019,32337535.0
Action Tadka India,4320000,Film & Animation,1288406141,1596,2014,32210154.0
Indonesian Fairy Tales,3980000,Film & Animation,1287367585,642,2016,32184190.0
TSeries Islamic Music,4510000,Entertainment,1287091133,4810,2014,32177278.0
Fever FM,2140000,Entertainment,1283116983,7350,2013,32077925.0
Vikasverma,2100000,Comedy,1282888662,979,2017,32072217.0
Mai Mohini,2870000,Comedy,1279570794,412,2021,31989270.0
MortaL,7000000,Gaming,1279486355,1919,2013,31987159.0
Akshara Singh,4070000,Music,1278140327,184,2017,31953508.0
Son And Dad,3060000,People & Blogs,1276982152,426,2022,31924554.0
Behindwoods Hits,1330000,Film & Animation,1275994653,24623,2022,31899866.0
Mayur Thakur,5640000,People & Blogs,1275643320,328,2021,31891083.0
Adda247,7630000,Education,1274786688,43386,2016,31869667.0
Rachitroo,5900000,Gaming,1273655811,649,2015,31841395.0
Khushi  Hindi Stories Super Comedy Videos,3990000,Entertainment,1271569477,313,2019,31789237.0
Chintu Toons,2510000,Entertainment,1271223556,97,2019,31780589.0
ATIF FC,3510000,Entertainment,1270787153,366,2019,31769679.0
Drishti IAS,10900000,People & Blogs,1270207694,12650,2017,31755192.0
Sonotek Haryanvi,10000000,Music,1267633376,3648,2015,31690834.0
Assassins ARMY,10100000,Gaming,1265666274,999,2019,31641657.0
Dancefit Live,6070000,Entertainment,1265269177,264,2016,31631729.0
Ultra Action Hits,6440000,Entertainment,1264193214,1034,2016,31604830.0
Peekaboo Kidz,4040000,Education,1263582247,743,2014,31589556.0
NTM Cinemas,4390000,Film & Animation,1263265854,3069,2016,31581646.0
Laksh Dadwani,1370000,People & Blogs,1262732355,945,2020,31568309.0
Village Food Channel,7480000,People & Blogs,1262632025,411,2018,31565801.0
Rehaan Roy,3060000,People & Blogs,1261353949,360,2011,31533849.0
Swara Singh,4250000,People & Blogs,1258361791,306,2020,31459045.0
Chu Chu Ke Funs,3890000,Entertainment,1258332498,919,2016,31458312.0
Mango Videos,3130000,Entertainment,1256600949,9177,2008,31415024.0
News18 Lokmat,2650000,News & Politics,1256527814,142455,2011,31413195.0
rajuindori,1870000,Comedy,1255767275,951,2016,31394182.0
Tips Theatre,4360000,Education,1254647352,3405,2018,31366184.0
Arbaaz Shaikh,4410000,People & Blogs,1254373550,674,2022,31359339.0
Samreen Ali,4420000,Comedy,1253148464,648,2016,31328712.0
arunj224,1880000,Entertainment,1250501686,397,2013,31262542.0
Delicious Food,4180000,Howto & Style,1249596712,1576,2019,31239918.0
Home entertainment and vlog,1860000,People & Blogs,1247842617,1791,2013,31196065.0
Ruptara Vlogs,1850000,People & Blogs,1247810828,7797,2021,31195271.0
FS star News,2430000,Entertainment,1246720621,8820,2017,31168016.0
Play DMF,3930000,Entertainment,1246285918,229,2018,31157148.0
wifistudy 2.0 by Unacademy,5800000,People & Blogs,1245847394,19656,2017,31146185.0
TellyTalkIndia,2140000,News & Politics,1240618489,37944,2013,31015462.0
Missjasleenarora,2230000,People & Blogs,1239465915,349,2020,30986648.0
TFPC,1780000,Entertainment,1239070533,30068,2014,30976763.0
LoveSHEET,4760000,Music,1238108751,115,2017,30952719.0
Dynamo Gaming,9970000,People & Blogs,1237997428,2241,2010,30949936.0
Cineulagam,2820000,Entertainment,1236044205,25180,2011,30901105.0
Shri Devkinandan Thakur Ji,4780000,People & Blogs,1234939704,8347,2014,30873493.0
Telugu Foodie,1290000,Entertainment,1233801767,878,2022,30845044.0
Khandesh Zone,3170000,Comedy,1232911226,114,2019,30822781.0
Vivek Talk,7490000,,1231993354,423,2019,30799834.0
Saga Music Haryanvi,2980000,Music,1231306590,1846,2010,30782665.0
Lalitha Audios And Videos,2850000,Music,1231073209,1462,2012,30776830.0
Hitz Music,4280000,Music,1230990611,732,2017,30774765.0
Gaane Filmi,2790000,Music,1230850659,407,2021,30771266.0
Vijay shorts,1790000,People & Blogs,1228515815,1228,2019,30712895.0
Elvish Yadav Vlogs,7570000,People & Blogs,1228220319,732,2019,30705508.0
Nandighosha TV,2530000,News & Politics,1225376998,135037,2016,30634425.0
