channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Indian Farmer
    ","4,070,000",Howto & Style,"1,382,783,727",Howto & Style,2018,892
"
FACT FIRE KING
    ","14,200,000",,"1,382,613,867",,2020,893
"
Official the jeet
    ","5,620,000",Entertainment,"1,382,034,045",Entertainment,2021,894
"
Trakin Shorts
    ","2,550,000",People & Blogs,"1,377,710,676",People & Blogs,2021,895
"
Fukra Insaan
    ","9,040,000",People & Blogs,"1,376,833,442",People & Blogs,2019,896
"
IKRU Entertainments
    ","2,150,000",Comedy,"1,376,664,434",Comedy,2016,897
"
SVF Music
    ","3,310,000",Music,"1,376,060,075",Music,2016,898
"
Rajshri Soul
    ","3,430,000",Music,"1,374,863,233",Music,2009,899
"
Rojgar with Ankit
    ","9,880,000",,"1,371,205,547",,2017,900
"
Aryan verma studios
    ","4,860,000",Howto & Style,"1,369,534,100",Howto & Style,2017,901
"
Wings Marathi
    ","4,560,000",Entertainment,"1,368,367,087",Entertainment,2010,902
"
Video Palace
    ","2,670,000",Music,"1,366,557,951",Music,2010,903
"
Too Much Facts
    ","2,770,000",,"1,365,869,359",,2020,904
"
COMEDY SONOTEK
    ","4,400,000",People & Blogs,"1,363,903,930",People & Blogs,2016,905
"
Spread Love - Satheesh Shanmu
    ","1,620,000",Entertainment,"1,362,531,369",Entertainment,2020,906
"
Sarpmitra Akash Jadhav
    ","5,340,000",Pets & Animals,"1,361,823,533",Pets & Animals,2017,907
"
âRespect
    ","2,190,000",Sports,"1,358,969,369",Sports,2021,908
"
DawsenTv - Bengali Stories & Rhymes
    ","3,360,000",Film & Animation,"1,357,237,576",Film & Animation,2013,909
"
Shemaroo Telugu
    ","3,070,000",Entertainment,"1,357,151,455",Entertainment,2009,910
"
Tanmay Bhat
    ","4,550,000",Comedy,"1,353,989,207",Comedy,2006,911
"
Manorama Music Songs
    ","2,560,000",Music,"1,353,727,995",Music,2013,912
"
Nirahua Entertainment
    ","3,130,000",Entertainment,"1,351,150,445",Entertainment,2017,913
"
VeerParul Official
    ","2,990,000",Comedy,"1,350,744,849",Comedy,2022,914
"
Sachet Parampara
    ","4,850,000",Music,"1,348,754,433",Music,2011,915
"
Pandit Pradeep Ji Mishra Sehore Wale
    ","5,970,000",People & Blogs,"1,344,100,133",People & Blogs,2012,916
"
Universe Adventure
    ","7,690,000",Science & Technology,"1,342,127,894",Science & Technology,2016,917
"
Yuki Music
    ","5,090,000",Music,"1,340,423,152",Music,2014,918
"
Jubin Nautiyal
    ","5,970,000",Music,"1,339,751,253",Music,2009,919
"
Sheethal And Vinu
    ","1,790,000",Entertainment,"1,339,293,431",Entertainment,2021,920
"
Music Master | Tamil Songs | Ilayaraja
    ","2,450,000",Music,"1,337,759,309",Music,2016,921
"
Jatt Life Studios
    ","2,850,000",Music,"1,335,362,329",Music,2018,922
"
Bolly Kick
    ","8,800,000",Film & Animation,"1,334,713,355",Film & Animation,2011,923
"
Grandpa Kitchen
    ","9,480,000",Howto & Style,"1,332,681,137",Howto & Style,2017,924
"
Veggie Paaji
    ","3,310,000",Entertainment,"1,328,381,816",Entertainment,2016,925
"
Khushbu Style
    ","3,130,000",Howto & Style,"1,325,440,300",Howto & Style,2017,926
"
Nitin Narware
    ","4,470,000",Comedy,"1,325,169,813",Comedy,2020,927
"
Manish saini
    ","4,000,000",Comedy,"1,323,766,113",Comedy,2019,928
"
Bihar Tak
    ","3,280,000",News & Politics,"1,323,610,973",News & Politics,2018,929
"
aha videoIN
    ","2,570,000",Entertainment,"1,321,854,323",Entertainment,2020,930
"
LOL (Life of Limbachiyaaâs)
    ","4,300,000",Entertainment,"1,318,427,545",Entertainment,2021,931
"
Shabad Gurbani
    ","3,460,000",Music,"1,315,172,284",Music,2011,932
"
Elvish yadav
    ","14,600,000",Comedy,"1,311,129,311",Comedy,2016,933
"
Josh -  Hindi Stories Comedy Videos
    ","4,000,000",Entertainment,"1,307,957,778",Entertainment,2019,934
"
DisneyPlus Hotstar_IN
    ","1,660,000",Entertainment,"1,305,882,316",Entertainment,2019,935
"
Nova Spiritual India
    ","4,550,000",Music,"1,305,470,330",Music,2015,936
"
Best In Bollywood
    ","3,320,000",Entertainment,"1,305,360,072",Entertainment,2011,937
"
sansCARi sumit
    ","1,140,000",Autos & Vehicles,"1,303,192,477",Autos & Vehicles,2010,938
"
CRUX
    ","2,210,000",News & Politics,"1,301,110,855",News & Politics,2016,939
"
Ramsivasa Tamil
    ","1,520,000",Howto & Style,"1,300,462,701",Howto & Style,2018,940
"
Meditative Mind
    ","5,420,000",Music,"1,293,943,632",Music,2009,941
"
Team Kunjippuzhu by Nikhil & Lena
    ","1,570,000",Comedy,"1,293,501,389",Comedy,2019,942
"
Action Tadka India
    ","4,320,000",Film & Animation,"1,288,406,141",Film & Animation,2014,943
"
Indonesian Fairy Tales
    ","3,980,000",Film & Animation,"1,287,367,585",Film & Animation,2016,944
"
T-Series Islamic Music
    ","4,510,000",Entertainment,"1,287,091,133",Entertainment,2014,945
"
Fever FM
    ","2,140,000",Entertainment,"1,283,116,983",Entertainment,2013,946
"
Vikasverma 
    ","2,100,000",Comedy,"1,282,888,662",Comedy,2017,947
"
Mai Mohini
    ","2,870,000",Comedy,"1,279,570,794",Comedy,2021,948
"
MortaL
    ","7,000,000",Gaming,"1,279,486,355",Gaming,2013,949
"
Akshara Singh
    ","4,070,000",Music,"1,278,140,327",Music,2017,950
"
Son And Dad
    ","3,060,000",People & Blogs,"1,276,982,152",People & Blogs,2022,951
"
Behindwoods Hits
    ","1,330,000",Film & Animation,"1,275,994,653",Film & Animation,2022,952
"
Mayur Thakur
    ","5,640,000",People & Blogs,"1,275,643,320",People & Blogs,2021,953
"
Adda247 
    ","7,630,000",Education,"1,274,786,688",Education,2016,954
"
Rachitroo
    ","5,900,000",Gaming,"1,273,655,811",Gaming,2015,955
"
Khushi - Hindi Stories Super Comedy Videos
    ","3,990,000",Entertainment,"1,271,569,477",Entertainment,2019,956
"
Chintu Toons
    ","2,510,000",Entertainment,"1,271,223,556",Entertainment,2019,957
"
ATIF FC
    ","3,510,000",Entertainment,"1,270,787,153",Entertainment,2019,958
"
Drishti IAS
    ","10,900,000",People & Blogs,"1,270,207,694",People & Blogs,2017,959
"
Sonotek Haryanvi
    ","10,000,000",Music,"1,267,633,376",Music,2015,960
"
Assassins ARMY
    ","10,100,000",Gaming,"1,265,666,274",Gaming,2019,961
"
Dancefit Live
    ","6,070,000",Entertainment,"1,265,269,177",Entertainment,2016,962
"
Ultra Action Hits
    ","6,440,000",Entertainment,"1,264,193,214",Entertainment,2016,963
"
Peekaboo Kidz
    ","4,040,000",Education,"1,263,582,247",Education,2014,964
"
NTM Cinemas
    ","4,390,000",Film & Animation,"1,263,265,854",Film & Animation,2016,965
"
Laksh Dadwani
    ","1,370,000",People & Blogs,"1,262,732,355",People & Blogs,2020,966
"
Village Food Channel
    ","7,480,000",People & Blogs,"1,262,632,025",People & Blogs,2018,967
"
Rehaan Roy
    ","3,060,000",People & Blogs,"1,261,353,949",People & Blogs,2011,968
"
Swara Singh
    ","4,250,000",People & Blogs,"1,258,361,791",People & Blogs,2020,969
"
Chu Chu Ke Funs
    ","3,890,000",Entertainment,"1,258,332,498",Entertainment,2016,970
"
Mango Videos
    ","3,130,000",Entertainment,"1,256,600,949",Entertainment,2008,971
"
News18 Lokmat
    ","2,650,000",News & Politics,"1,256,527,814",News & Politics,2011,972
"
rajuindori
    ","1,870,000",Comedy,"1,255,767,275",Comedy,2016,973
"
Tips Theatre
    ","4,360,000",Education,"1,254,647,352",Education,2018,974
"
Arbaaz Shaikh
    ","4,410,000",People & Blogs,"1,254,373,550",People & Blogs,2022,975
"
Samreen Ali
    ","4,420,000",Comedy,"1,253,148,464",Comedy,2016,976
"
arunj224
    ","1,880,000",Entertainment,"1,250,501,686",Entertainment,2013,977
"
Delicious Food
    ","4,180,000",Howto & Style,"1,249,596,712",Howto & Style,2019,978
"
Home entertainment and vlog
    ","1,860,000",People & Blogs,"1,247,842,617",People & Blogs,2013,979
"
Ruptara Vlogs
    ","1,850,000",People & Blogs,"1,247,810,828",People & Blogs,2021,980
"
 FS star News
    ","2,430,000",Entertainment,"1,246,720,621",Entertainment,2017,981
"
Play DMF
    ","3,930,000",Entertainment,"1,246,285,918",Entertainment,2018,982
"
wifistudy 2.0 by Unacademy
    ","5,800,000",People & Blogs,"1,245,847,394",People & Blogs,2017,983
"
TellyTalkIndia
    ","2,140,000",News & Politics,"1,240,618,489",News & Politics,2013,984
"
Missjasleenarora
    ","2,230,000",People & Blogs,"1,239,465,915",People & Blogs,2020,985
"
TFPC
    ","1,780,000",Entertainment,"1,239,070,533",Entertainment,2014,986
"
LoveSHEET
    ","4,760,000",Music,"1,238,108,751",Music,2017,987
"
Dynamo Gaming
    ","9,970,000",People & Blogs,"1,237,997,428",People & Blogs,2010,988
"
Cineulagam
    ","2,820,000",Entertainment,"1,236,044,205",Entertainment,2011,989
"
Shri Devkinandan Thakur Ji 
    ","4,780,000",People & Blogs,"1,234,939,704",People & Blogs,2014,990
"
Telugu Foodie
    ","1,290,000",Entertainment,"1,233,801,767",Entertainment,2022,991
"
Khandesh Zone
    ","3,170,000",Comedy,"1,232,911,226",Comedy,2019,992
"
Vivek Talk
    ","7,490,000",,"1,231,993,354",,2019,993
"
Saga Music Haryanvi
    ","2,980,000",Music,"1,231,306,590",Music,2010,994
"
Lalitha Audios And Videos
    ","2,850,000",Music,"1,231,073,209",Music,2012,995
"
Hitz Music
    ","4,280,000",Music,"1,230,990,611",Music,2017,996
"
Gaane Filmi
    ","2,790,000",Music,"1,230,850,659",Music,2021,997
"
Vijay shorts
    ","1,790,000",People & Blogs,"1,228,515,815",People & Blogs,2019,998
"
Elvish Yadav Vlogs
    ","7,570,000",People & Blogs,"1,228,220,319",People & Blogs,2019,999
"
Nandighosha TV
    ","2,530,000",News & Politics,"1,225,376,998",News & Politics,2016,1000
