channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Nitesh Comedian143
    ","3,910,000",Comedy,"1,839,405,831",Comedy,2021,670
"
Upboyraj Comedy
    ","3,500,000",Comedy,"1,838,877,769",Comedy,2018,671
"
RAJA RUBI
    ","2,380,000",Entertainment,"1,837,236,827",Entertainment,2016,672
"
Jugnu Kids - Bangla Nursery Rhymes & Baby Songs
    ","4,260,000",People & Blogs,"1,835,226,693",People & Blogs,2017,673
"
PS TAMIL SONG
    ","3,190,000",Film & Animation,"1,834,742,467",Film & Animation,2015,674
"
Shorts With Raaz
    ","6,320,000",,"1,833,560,184",,2022,675
"
khari pooja
    ","4,490,000",People & Blogs,"1,832,988,381",People & Blogs,2022,676
"
Mumbai Tak
    ","3,030,000",News & Politics,"1,832,319,278",News & Politics,2017,677
"
Incredible Alien
    ","3,290,000",Entertainment,"1,829,633,531",Entertainment,2020,678
"
SanskarTV
    ","9,090,000",,"1,823,013,994",,2013,679
"
popi kitchen with village food
    ","5,150,000",,"1,821,873,055",,2018,680
"
Malik Vlogs
    ","4,250,000",People & Blogs,"1,820,708,495",People & Blogs,2020,681
"
Lokmat Filmy
    ","2,000,000",Entertainment,"1,818,287,662",Entertainment,2016,682
"
Dr. Vivek Bindra: Motivational Speaker
    ","21,300,000",Education,"1,818,275,909",Education,2013,683
"
Premium Digiplex Movies
    ","8,140,000",Film & Animation,"1,817,718,315",Film & Animation,2015,684
"
Telly Bytes - Tele News India
    ","4,190,000",Entertainment,"1,817,007,086",Entertainment,2012,685
"
D Jackson
    ","5,150,000",Entertainment,"1,814,973,540",Entertainment,2020,686
"
Spiritual Mantra
    ","9,140,000",Music,"1,814,702,085",Music,2010,687
"
Mirchi Murga
    ","6,040,000",Comedy,"1,813,365,188",Comedy,2014,688
"
Filmylooks
    ","2,120,000",Entertainment,"1,811,080,085",Entertainment,2016,689
"
Free Fire India Official
    ","12,900,000",People & Blogs,"1,810,768,093",People & Blogs,2018,690
"
Earth 24
    ","2,710,000",,"1,809,732,408",,2018,691
"
Aeon Pix Studios
    ","7,160,000",Film & Animation,"1,807,246,813",Film & Animation,2013,692
"
News7 Tamil
    ","5,100,000",News & Politics,"1,804,489,055",News & Politics,2014,693
"
Brut India
    ","2,800,000",News & Politics,"1,803,379,151",News & Politics,2019,694
"
Learn with Jaspal
    ","3,570,000",,"1,802,237,739",,2021,695
"
Juned Fitness
    ","3,460,000",Entertainment,"1,801,898,869",Entertainment,2014,696
"
Movie Scenes - Angel Digital
    ","3,140,000",Film & Animation,"1,799,512,994",Film & Animation,2016,697
"
Bollywood Hits
    ","5,160,000",People & Blogs,"1,795,561,664",People & Blogs,2021,698
"
CAPITAL TV
    ","3,710,000",,"1,795,531,702",,2019,699
"
Pragati Verma
    ","6,290,000",Entertainment,"1,790,552,700",Entertainment,2018,700
"
SRS Media Vision | Kannada Full Movies
    ","3,810,000",Movies,"1,785,439,468",Movies,2014,701
"
Crazy Cherryboy
    ","2,730,000",Comedy,"1,780,533,769",Comedy,2019,702
"
TV9 Bangla
    ","2,440,000",News & Politics,"1,778,440,329",News & Politics,2020,703
"
Planet Earth INDIA
    ","11,900,000",People & Blogs,"1,777,877,949",People & Blogs,2011,704
